iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
18,350.0,0.0,0.0,700.0,1100.0,105.0,0.0,30.0,0.0,150.0,0.3,0.19444,0.0,0.61111,0.38889,1.0,0.0,0.0,37.9,47.99,51.59,372.69,True,,False,12707.3494,4
19,390.0,0.0,0.0,680.0,1080.0,100.0,0.0,45.0,0.0,200.0,0.25641,0.22159,0.0,0.61364,0.38636,1.0,0.0,0.0,39.71,49.33,51.72,414.48,True,,True,12712.9038,5
20,340.0,0.0,50.0,700.0,1100.0,105.0,0.0,35.0,0.0,100.0,0.26923,0.21667,0.12821,0.61111,0.38889,0.87179,0.0,0.12821,37.86,48.25,51.47,375.41,True,,False,12712.9038,5
21,370.0,0.0,0.0,680.0,1100.0,100.0,0.0,40.0,0.0,180.0,0.27027,0.20787,0.0,0.61798,0.38202,1.0,0.0,0.0,39.63,49.4,52.51,393.6,True,,True,12726.1654,5
22,150.0,0.0,150.0,820.0,1100.0,130.0,0.0,10.0,0.0,0.0,0.43333,0.15625,0.5,0.57292,0.42708,0.5,0.0,0.5,28.01,41.46,46.61,203.0,True,,False,12726.1654,5
23,180.0,0.0,120.0,800.0,1100.0,115.0,0.0,20.0,0.0,50.0,0.38333,0.15789,0.4,0.57895,0.42105,0.6,0.0,0.4,31.08,44.38,51.11,226.47,True,,False,12726.1654,5
24,200.0,0.0,80.0,780.0,1100.0,100.0,0.0,40.0,0.0,80.0,0.35714,0.14894,0.28571,0.58511,0.41489,0.71429,0.0,0.28571,30.54,43.03,49.29,236.82,True,,False,12726.1654,5
25,250.0,0.0,0.0,750.0,1050.0,95.0,0.0,50.0,0.0,120.0,0.38,0.13889,0.0,0.58333,0.41667,1.0,0.0,0.0,32.64,40.73,45.22,267.83,True,,False,12726.1654,5
26,130.0,0.0,180.0,780.0,1100.0,125.0,0.0,15.0,0.0,20.0,0.40323,0.16489,0.58065,0.58511,0.41489,0.41935,0.0,0.58065,31.02,45.37,50.93,189.86,True,,False,12726.1654,5
27,190.0,0.0,100.0,780.0,1100.0,105.0,0.0,35.0,0.0,60.0,0.36207,0.15426,0.34483,0.58511,0.41489,0.65517,0.0,0.34483,30.06,44.55,51.14,231.62,True,,False,12726.1654,5
28,260.0,0.0,0.0,750.0,1050.0,90.77,0.0,50.0,0.0,150.0,0.34912,0.14444,0.0,0.58333,0.41667,1.0,0.0,0.0,30.99,39.47,44.97,278.31,True,,False,12726.1654,5
29,160.0,0.0,140.0,800.0,1050.0,100.0,0.0,40.0,0.0,70.0,0.33333,0.16216,0.46667,0.56757,0.43243,0.53333,0.0,0.46667,29.17,45.06,51.33,210.61,True,,False,12726.1654,5
30,100.0,0.0,210.0,800.0,1080.0,120.0,0.0,20.0,0.0,40.0,0.3871,0.16489,0.67742,0.57447,0.42553,0.32258,0.0,0.67742,31.11,47.83,53.26,166.32,True,,True,12915.3084,4
