iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
11,97.3,161.97,332.25,1067.94,1364.59,214.77,0.0,75.35,0.0,0.0,0.36308,0.24317,0.83551,0.56098,0.43902,0.16449,0.27382,0.56169,38.55,52.44,61.24,250.64,False,"SCM%,PC%",False,10866.1267,4
12,110.0,100.0,200.0,1067.94,1364.59,140.0,0.0,50.0,0.0,0.0,0.34146,0.16855,0.73171,0.56098,0.43902,0.26829,0.2439,0.4878,37.58,52.62,57.81,208.71,True,,True,12528.0775,4
13,300.0,0.0,50.0,850.0,1050.0,100.0,0.0,60.0,0.0,250.0,0.28571,0.18421,0.14286,0.55263,0.44737,0.85714,0.0,0.14286,35.91,46.11,51.26,333.7,True,,False,12528.0775,4
14,380.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,400.0,0.23887,0.21111,0.0,0.55556,0.44444,1.0,0.0,0.0,44.02,54.45,57.35,404.02,True,,True,12641.5105,4
15,250.0,0.0,100.0,900.0,1100.0,110.0,0.0,50.0,0.0,150.0,0.31429,0.175,0.28571,0.55,0.45,0.71429,0.0,0.28571,32.41,46.45,52.77,294.81,True,,False,12641.5105,4
16,320.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,300.0,0.28366,0.17778,0.0,0.55556,0.44444,1.0,0.0,0.0,43.06,51.68,56.31,341.14,True,,False,12641.5105,4
17,370.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.24532,0.20556,0.0,0.55556,0.44444,1.0,0.0,0.0,44.16,54.69,58.44,393.54,True,,True,12682.7809,4
18,260.0,0.0,80.0,880.0,1080.0,105.0,0.0,55.0,0.0,200.0,0.30882,0.17347,0.23529,0.55102,0.44898,0.76471,0.0,0.23529,34.06,46.87,52.64,299.88,True,,False,12682.7809,4
19,300.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.30257,0.16667,0.0,0.55556,0.44444,1.0,0.0,0.0,41.6,51.23,56.0,320.18,True,,False,12682.7809,4
20,350.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.25934,0.19444,0.0,0.55556,0.44444,1.0,0.0,0.0,42.41,51.14,56.3,372.58,True,,False,12682.7809,4
21,280.0,0.0,50.0,800.0,1000.0,90.77,0.0,75.35,0.0,400.0,0.27506,0.18333,0.15152,0.55556,0.44444,0.84848,0.0,0.15152,40.85,51.56,56.46,312.42,True,,False,12682.7809,4
22,340.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.26697,0.18889,0.0,0.55556,0.44444,1.0,0.0,0.0,44.46,52.57,56.51,362.1,True,,False,12682.7809,4
23,300.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.30257,0.16667,0.0,0.55556,0.44444,1.0,0.0,0.0,41.6,51.23,56.0,320.18,True,,False,12682.7809,4
24,360.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.25214,0.2,0.0,0.55556,0.44444,1.0,0.0,0.0,42.74,52.53,56.73,383.06,True,,False,12682.7809,4
25,290.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.313,0.16111,0.0,0.55556,0.44444,1.0,0.0,0.0,39.69,49.83,54.95,309.7,True,,False,12682.7809,4
26,330.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.27506,0.18333,0.0,0.55556,0.44444,1.0,0.0,0.0,43.24,52.19,56.32,351.62,True,,False,12682.7809,4
27,380.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.23887,0.21111,0.0,0.55556,0.44444,1.0,0.0,0.0,44.02,54.45,57.35,404.02,True,,False,12682.7809,4
28,390.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.23274,0.21667,0.0,0.55556,0.44444,1.0,0.0,0.0,44.82,54.58,58.1,414.5,True,,False,12682.7809,4
29,504.31,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.17999,0.28017,0.0,0.55556,0.44444,1.0,0.0,0.0,47.11,57.1,61.18,534.3,False,w/b,False,12682.7809,4
30,504.31,0.0,0.0,800.0,1000.0,118.7,0.0,75.35,0.0,455.65,0.23537,0.28017,0.0,0.55556,0.44444,1.0,0.0,0.0,48.73,56.78,61.33,534.3,True,,True,12682.7809,4
