iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
17,504.31,0.0,0.0,600.0,1200.0,120.0,0.0,70.0,0.0,150.0,0.23795,0.28017,0.0,0.66667,0.33333,1.0,0.0,0.0,40.9,49.3,54.04,534.52,True,,False,12428.3906,2
18,97.3,160.0,300.0,900.0,900.0,160.0,0.0,0.0,5.0,0.0,0.2871,0.30961,0.82541,0.5,0.5,0.17459,0.2871,0.53831,36.57,47.13,58.88,239.32,False,"SCM%,PC%",False,12428.3906,2
19,110.0,50.0,200.0,880.0,950.0,140.0,0.0,0.0,5.0,0.0,0.38889,0.19672,0.69444,0.51913,0.48087,0.30556,0.13889,0.55556,29.95,45.15,52.62,190.28,True,,True,12681.8221,3
20,140.0,30.0,220.0,870.0,960.0,140.0,0.0,0.0,5.0,0.0,0.35897,0.21311,0.64103,0.52459,0.47541,0.35897,0.07692,0.5641,34.56,48.73,57.14,220.45,True,,True,12684.3738,4
21,130.0,0.0,230.0,875.0,955.0,140.0,0.0,0.0,5.0,0.0,0.38889,0.19672,0.63889,0.52186,0.47814,0.36111,0.0,0.63889,30.01,44.99,52.55,202.77,True,,False,12684.3738,4
22,97.3,0.0,300.0,900.0,1000.0,150.0,0.0,0.0,3.0,0.0,0.37755,0.20911,0.7551,0.52632,0.47368,0.2449,0.0,0.7551,37.7,51.01,58.87,187.21,False,SC%,False,12684.3738,4
23,100.0,0.0,230.0,950.0,1050.0,140.0,0.0,0.0,3.0,0.0,0.42424,0.165,0.69697,0.525,0.475,0.30303,0.0,0.69697,30.19,46.51,54.46,171.88,True,,True,13389.153,3
24,120.0,0.0,250.0,900.0,1000.0,145.0,0.0,0.0,5.0,0.0,0.39189,0.19474,0.67568,0.52632,0.47368,0.32432,0.0,0.67568,31.61,45.69,53.29,197.8,True,,False,13389.153,3
25,504.31,0.0,0.0,600.0,1200.0,120.0,0.0,75.0,0.0,200.0,0.23795,0.28017,0.0,0.66667,0.33333,1.0,0.0,0.0,42.59,49.51,54.34,534.52,True,,False,13389.153,3
26,480.0,0.0,50.0,600.0,1200.0,125.0,0.0,70.0,0.0,250.0,0.23585,0.29444,0.09434,0.66667,0.33333,0.90566,0.0,0.09434,40.06,48.61,53.75,522.24,True,,False,13389.153,3
27,500.0,0.0,0.0,600.0,1200.0,120.0,0.0,75.0,0.0,300.0,0.24,0.27778,0.0,0.66667,0.33333,1.0,0.0,0.0,44.59,52.12,56.53,530.0,True,,True,13389.153,4
28,350.0,0.0,50.0,700.0,1100.0,130.0,0.0,15.0,0.0,0.0,0.325,0.22222,0.125,0.61111,0.38889,0.875,0.0,0.125,37.01,45.72,48.87,385.89,True,,False,13389.153,4
29,300.0,30.0,70.0,720.0,1080.0,130.0,0.0,10.0,0.0,50.0,0.325,0.22222,0.25,0.6,0.4,0.75,0.075,0.175,35.17,47.19,52.62,348.59,True,,False,13389.153,4
30,280.0,40.0,0.0,780.0,1020.0,125.0,0.0,10.0,0.0,20.0,0.39062,0.17778,0.125,0.56667,0.43333,0.875,0.125,0.0,28.6,35.96,40.83,312.36,True,,False,13389.153,4
