iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
11,97.3,50.0,250.0,950.0,1150.0,140.0,0.0,0.0,10.0,0.0,0.35238,0.18919,0.7551,0.54762,0.45238,0.2449,0.12585,0.62925,36.82,50.59,58.66,191.1,True,,True,12538.251,2
12,180.0,40.0,200.0,880.0,1080.0,125.0,0.0,15.0,0.0,0.0,0.29762,0.21429,0.57143,0.55102,0.44898,0.42857,0.09524,0.47619,33.32,48.68,55.75,260.84,True,,False,12538.251,2
13,250.0,0.0,180.0,800.0,1000.0,110.0,0.0,20.0,0.0,0.0,0.25581,0.23889,0.4186,0.55556,0.44444,0.5814,0.0,0.4186,36.21,52.78,57.67,315.3,True,,True,12942.744,3
14,350.0,0.0,80.0,750.0,950.0,105.0,0.0,25.0,0.0,100.0,0.24419,0.25294,0.18605,0.55882,0.44118,0.81395,0.0,0.18605,40.67,50.81,57.47,393.38,True,,False,12942.744,3
15,420.0,0.0,50.0,700.0,900.0,100.0,0.0,30.0,0.0,250.0,0.21277,0.29375,0.10638,0.5625,0.4375,0.89362,0.0,0.10638,42.54,49.58,55.47,458.51,False,w/b,False,12942.744,3
16,450.0,0.0,30.0,650.0,850.0,115.0,0.0,70.0,0.0,300.0,0.23958,0.32,0.0625,0.56667,0.43333,0.9375,0.0,0.0625,44.98,53.25,57.18,484.36,True,,True,12950.0948,4
17,220.0,20.0,120.0,850.0,1050.0,120.0,0.0,20.0,0.0,0.0,0.33333,0.18947,0.38889,0.55263,0.44737,0.61111,0.05556,0.33333,29.54,43.76,49.99,274.89,True,,False,12950.0948,4
18,280.0,10.0,100.0,800.0,1000.0,95.0,0.0,70.0,0.0,100.0,0.24359,0.21667,0.28205,0.55556,0.44444,0.71795,0.02564,0.25641,37.38,51.19,57.28,328.9,True,,False,12950.0948,4
19,250.0,0.0,100.0,850.0,1050.0,98.0,0.0,70.0,0.0,50.0,0.28,0.18421,0.28571,0.55263,0.44737,0.71429,0.0,0.28571,34.16,47.37,52.76,294.5,True,,False,12950.0948,4
20,400.0,0.0,50.0,680.0,880.0,105.0,0.0,75.0,0.0,400.0,0.23333,0.28846,0.11111,0.5641,0.4359,0.88889,0.0,0.11111,48.36,56.94,60.45,437.42,True,,True,13203.0768,3
21,230.0,0.0,150.0,850.0,1050.0,120.0,0.0,10.0,0.0,0.0,0.31579,0.2,0.39474,0.55263,0.44737,0.60526,0.0,0.39474,32.02,46.45,53.08,286.74,True,,False,13203.0768,3
22,260.0,0.0,120.0,800.0,1000.0,100.0,0.0,75.0,0.0,50.0,0.26316,0.21111,0.31579,0.55556,0.44444,0.68421,0.0,0.31579,36.51,51.61,57.39,309.94,True,,True,13208.544,4
23,380.0,0.0,50.0,700.0,900.0,100.0,0.0,30.0,0.0,200.0,0.23256,0.26875,0.11628,0.5625,0.4375,0.88372,0.0,0.11628,42.1,49.52,53.94,416.59,True,,False,13208.544,4
24,420.0,0.0,30.0,650.0,850.0,90.77,0.0,75.0,0.0,450.0,0.20171,0.3,0.06667,0.56667,0.43333,0.93333,0.0,0.06667,45.63,55.01,58.82,452.92,False,w/b,False,13208.544,4
25,400.0,0.0,50.0,680.0,880.0,105.0,0.0,75.0,0.0,450.0,0.23333,0.28846,0.11111,0.5641,0.4359,0.88889,0.0,0.11111,48.36,56.94,60.45,437.42,True,,True,13208.544,5
26,210.0,30.0,100.0,880.0,1080.0,105.0,0.0,20.0,0.0,0.0,0.30882,0.17347,0.38235,0.55102,0.44898,0.61765,0.08824,0.29412,32.48,47.41,53.57,262.6,True,,False,13208.544,5
27,250.0,0.0,100.0,800.0,1000.0,98.0,0.0,75.0,0.0,50.0,0.28,0.19444,0.28571,0.55556,0.44444,0.71429,0.0,0.28571,36.65,50.52,56.68,294.18,True,,False,13208.544,5
28,97.3,160.0,250.0,1000.0,1200.0,145.0,0.0,10.0,0.0,0.0,0.28583,0.23059,0.8082,0.54545,0.45455,0.1918,0.3154,0.49281,37.29,49.94,60.29,227.49,False,"SCM%,PC%",False,13208.544,5
29,100.0,100.0,200.0,1000.0,1200.0,140.0,0.0,10.0,0.0,0.0,0.35,0.18182,0.75,0.54545,0.45455,0.25,0.25,0.5,35.17,49.88,58.24,197.44,True,,False,13208.544,5
30,97.3,50.0,280.0,980.0,1180.0,130.0,0.0,20.0,0.0,0.0,0.30424,0.19782,0.77229,0.5463,0.4537,0.22771,0.11701,0.65528,38.78,53.51,60.63,199.2,True,,True,13631.2364,4
